rank,company,ownership,total_income,operating_income,profit,profit_margin_percentage,cash_balance,debt,total_assets,net_worth,employees,debt_to_assets,return_on_assets,revenue_per_employee,profit_per_employee,category_size,profitability_category,sector,stability_score
19,Vedanta,Anil Agarwal,149898.0,143727.0,4239.0,2.8,4327.0,87706.0,138531.0,30722.0,97015,63.31146097263428,3.059964917599671,1.5451012729990208,0.04369427408132763,Very Large,Low,Other,-17.78599201622741
20,Maruti Suzuki India,MNC,146584.0,141858.0,13488.0,9.2,2827.0,119.0,89061.0,85636.0,12515,0.133616285467264,15.144676120860984,11.712664802237315,1.0777467039552537,Very Large,Low,Other,3.3291570945756277
21,Mahindra & Mahindra,M&M Group,143831.0,139078.0,11269.0,7.8,12013.0,106626.0,195075.0,66191.0,24405,54.65897731641677,5.776752531077791,5.893505429215325,0.4617496414669125,Very Large,Low,Other,-13.629841855696526
22,Bank of Baroda,Govt of India,141779.0,118379.0,18767.0,13.2,100290.0,1453761.0,1658278.0,119712.0,74227,87.66690506658111,1.1317161537450295,1.9100731539736215,0.25283252724749755,Very Large,Medium,Banking & Financial Services,-22.00534151692297
23,Canara Bank,Govt of India,139165.0,110519.0,15279.0,11.0,151165.0,1369780.0,1535018.0,83015.0,82638,89.23543567567286,0.9953629208256841,1.6840315593310584,0.18489072823640457,Very Large,Medium,Banking & Financial Services,-23.131027909770438
24,Axis Bank,Diversified,137989.0,112759.0,26386.0,19.1,116493.0,1295302.0,1518924.0,157024.0,104332,85.2776044094372,1.7371507725205473,1.3225951769351685,0.2529041904688878,Very Large,Medium,Banking & Financial Services,-19.50319942274926
25,GAIL,Govt of India,135968.0,133228.0,9899.0,7.3,1712.0,21794.0,105597.0,76997.0,14840,20.638843906550374,9.374319346193548,9.162264150943397,0.6670485175202157,Very Large,Low,Other,-3.510924268681875
26,Nayara Energy,MNC,134371.0,133114.0,12321.0,9.2,6035.0,13496.0,59258.0,43491.0,4069,22.77498396840933,20.79212933274832,33.02310149913984,3.028016711722782,Very Large,Low,Power & Energy,-3.336284046035979
27,Grasim Industries,Aditya Birla Group,132498.0,130978.0,5624.0,4.2,4649.0,137144.0,360056.0,88652.0,25929,38.089630501921924,1.5619792476725842,5.110031239153072,0.21689999614331443,Very Large,Low,Other,-9.833067189548293
28,Punjab National Bank,Govt of India,123222.0,109065.0,9107.0,7.4,131400.0,1451811.0,1600024.0,102081.0,102349,90.73682644760328,0.5691789623155653,1.2039394620367565,0.0889798630177139,Very Large,Low,Banking & Financial Services,-24.673239601405978
29,Union Bank of India,Govt of India,118188.0,100376.0,13797.0,11.7,119646.0,1251568.0,1404784.0,91953.0,75866,89.09326985500974,0.9821438740760146,1.5578520022144307,0.18186012179368888,Very Large,Medium,Banking & Financial Services,-22.881304001184525
30,HCL Technologies,Shiv Nadar,111365.0,109913.0,15702.0,14.1,20150.0,5758.0,77476.0,68263.0,237248,7.431978935412256,20.266921369198204,0.46940332479093605,0.06618390882114918,Very Large,Medium,IT & Technology,2.757760854974444
31,Bajaj Finserv,Bajaj Group,110391.0,110382.0,8148.0,7.4,12387.0,288933.0,392708.0,60329.0,139000,73.5745133788973,2.074824042290964,0.7941798561151079,0.058618705035971226,Very Large,Low,Consumer Goods & Retail,-19.50454902879493
32,Steel Authority of India,Govt of India,110239.0,105378.0,3067.0,2.8,673.0,36323.0,102478.0,57101.0,45314,35.444680809539605,2.9928374870703958,2.4327801562431035,0.06768327669153021,Very Large,Low,Metals & Mining,-9.43223404047698
33,Samvardhana Motherson Intl.,Vivek Chaand Sehgal,99070.0,98692.0,2716.0,2.7,6986.0,19922.0,50474.0,26155.0,38491,39.46982604905496,5.380988231564766,2.5738484321010104,0.07056194954664727,Large,Low,Other,-10.595646471450648
34,Kotak Mahindra Bank,Uday Kotak,94274.0,56237.0,18213.0,19.3,65206.0,520374.0,767914.0,129972.0,77923,67.76461947561836,2.3717499615842397,1.2098353502816883,0.23373073418631213,Large,Medium,Banking & Financial Services,-14.174968212586304
35,Wipro,Azim Premji,92363.0,89760.0,11045.0,12.0,9695.0,16465.0,96637.0,74533.0,234054,17.037987520307958,11.429369703115784,0.3946226084578772,0.04718996470899878,Large,Medium,Other,-0.962744083529084
36,Power Finance Corporation,Govt of India,91586.0,91508.0,19761.0,21.6,3389.0,861961.0,996250.0,101147.0,545,86.52055207026349,1.9835382685069007,168.04770642201834,36.258715596330276,Large,High,Banking & Financial Services,-19.13581450439147
37,ITC,Diversified,74225.0,70881.0,20459.0,27.6,7218.0,303.0,76065.0,74507.0,55246,0.3983435219877736,26.896733057253662,1.3435361836151034,0.3703254534264924,Large,High,Other,9.017410109774534
38,Hyundai Motor India,MNC,71441.0,69829.0,6060.0,8.5,9017.0,833.0,13507.0,10666.0,5672,6.167172577182202,44.86562523136152,12.595380818053597,1.0684062059238364,Large,Low,Automobile,2.030676686162731
39,Interglobe Aviation,Rahul Bhatia,71226.0,68904.0,8172.0,11.5,16721.0,51280.0,64843.0,1996.0,36860,79.08332433724534,12.60274817636445,1.9323385784047749,0.22170374389582204,Large,Medium,Other,-19.67136853631078
40,Bank of India,Govt of India,67489.0,61073.0,6564.0,9.7,83123.0,821572.0,925922.0,63706.0,50944,88.7301522158454,0.7089150057996245,1.324768373115578,0.1288473618090452,Large,Low,Banking & Financial Services,-23.37691272050993
41,Tata Power Company,Tata Group,64981.0,61449.0,3696.0,5.7,9152.0,53689.0,108084.0,32355.0,23652,49.673402168683616,3.4195625624514268,2.7473786571960086,0.15626585489599187,Large,Low,Power & Energy,-12.806694422856294
42,Indian Bank,Govt of India,64232.0,55650.0,8419.0,13.1,42177.0,711096.0,796825.0,54273.0,40251,89.24117591692028,1.0565682552630753,1.595786440088445,0.20916250527937194,Large,Medium,Banking & Financial Services,-22.510635145734636
43,Hindustan Unilever,MNC,62911.0,61896.0,10277.0,16.3,7559.0,1484.0,59444.0,51218.0,7215,2.4964672633066414,17.288540475068974,8.71947331947332,1.4243936243936244,Large,Medium,Other,4.812262970190432
44,Adani Power,Adani Group,60281.0,50351.0,20829.0,34.6,7212.0,34431.0,84098.0,43145.0,3315,40.941520606910984,24.767533116126426,18.184313725490195,6.283257918552036,Large,Very High,Power & Energy,-1.0899541011676832
45,Toyota Kirloskar Motor,MNC,56801.0,55866.0,4787.0,8.4,11108.0,3378.0,12519.0,8232.0,4069,26.982985861490533,38.23787842479432,13.959449496190711,1.1764561317276971,Large,Low,Automobile,-4.332679926511702
46,Adani Enterprises,Adani Group,55723.0,52744.0,3240.0,5.8,7068.0,65310.0,121412.0,39076.0,2814,53.79204691463776,2.668599479458373,19.802061122956644,1.1513859275053304,Large,Low,Other,-14.0325990841103
47,IndusInd Bank,Hinduja Group,55144.0,45748.0,8977.0,16.3,36907.0,432197.0,515985.0,62912.0,45637,83.76154345572061,1.7397792571489483,1.208317812301422,0.19670442842430483,Large,Medium,Banking & Financial Services,-19.889361996957273
48,Titan Company,Tata Group,54289.0,51084.0,3496.0,6.4,1526.0,15528.0,25212.0,9393.0,8680,61.58971918134222,13.866412819292401,6.254493087557604,0.40276497695852537,Large,Low,Other,-15.967482151356494
49,Petronet LNG,Govt of India,53338.0,52729.0,3652.0,6.9,7414.0,3008.0,21160.0,17410.0,271,14.215500945179585,17.258979206049148,196.81918819188192,13.476014760147601,Large,Low,Other,-1.4793950850661628
50,Tech Mahindra,M&M Group,52923.0,51996.0,2358.0,4.5,4736.0,2537.0,32296.0,26669.0,128151,7.855461976715383,7.301213772603418,0.41297375752042514,0.0184001685511623,Large,Low,IT & Technology,-0.5312856081248452
51,Avenue Supermarts,R.K. Damani,51619.0,50789.0,2536.0,4.9,638.0,592.0,19299.0,18698.0,13971,3.067516451629618,13.140577231980933,3.6947247870589077,0.18151886049674326,Large,Low,Other,1.1191683506917456
52,Jindal Steel & Power,Savitri Devi Jindal,50557.0,50354.0,5938.0,11.8,4024.0,16472.0,62635.0,44316.0,6371,26.298395465793885,9.48032250339267,7.935488934233244,0.9320357871605713,Large,Medium,Metals & Mining,-3.8470631436098017
53,Nabard,Govt of India,49615.0,49222.0,6304.0,12.7,37840.0,789347.0,912496.0,97973.0,3134,86.5041600182357,0.6908523434623276,15.831206126356095,2.01148691767709,Medium,Medium,Other,-21.81913722361523
54,Sun Pharmaceuticals Industries,Dilip Shanghvi,49595.0,48497.0,9576.0,19.3,10521.0,3274.0,71294.0,63667.0,19530,4.5922518023957135,13.431705332847082,2.539426523297491,0.49032258064516127,Medium,Medium,Pharmaceuticals,5.01047297107751
55,Adani Wilmar,Adani Group,49571.0,49302.0,148.0,0.3,2810.0,2628.0,11536.0,8316.0,2678,22.780859916782248,1.2829403606102634,18.510455563853622,0.05526512322628827,Medium,Low,Other,-6.36988210818308
56,Ashok Leyland,Hinduja Group,47336.0,46543.0,2484.0,5.3,7080.0,40802.0,53889.0,9005.0,9607,75.71489543320529,4.609475032010243,4.927240553762881,0.25856146559800147,Medium,Low,Other,-20.70600289483939
57,Power Grid Corporation of India,Govt of India,47001.0,45843.0,15573.0,33.1,7495.0,123516.0,215096.0,87145.0,8316,57.423661992784616,7.2400230594711195,5.6518759018759015,1.8726551226551227,Medium,Very High,Power & Energy,-6.845329155353889
58,Bajaj Auto,Bajaj Group,46650.0,44870.0,7708.0,16.5,955.0,1912.0,30912.0,28962.0,9816,6.1853002070393375,24.935300207039337,4.752444987775061,0.7852485737571312,Medium,Medium,Automobile,3.8992947722567286
59,Max Financial Services,Diversified,46618.0,46580.0,340.0,0.7,906.0,523.0,4892.0,3866.0,4069,10.690923957481603,6.950122649223221,11.456869009584665,0.08355861391005161,Medium,Low,Other,-2.5212346688470975
60,GIC,Govt of India,46557.0,45375.0,6686.0,14.4,24855.0,0.0,85692.0,41935.0,429,0.0,7.8023619474396675,108.52447552447552,15.585081585081586,Medium,Medium,Other,4.834057321570275
61,New India Assurance Company,Govt of India,43691.0,43676.0,1116.0,2.6,14320.0,0.0,45489.0,21844.0,11940,0.0,2.4533403680010553,3.659212730318258,0.09346733668341708,Medium,Low,Other,1.1920270834707292
62,UPL,R.D. Shroff,43581.0,43098.0,-1200.0,7.8,6036.0,29754.0,63065.0,24807.0,4328,47.179893760405925,-1.902798699754222,10.069547134935306,-0.27726432532347506,Medium,Low,Other,-11.532881947197332
63,Vodafone Idea,MNC,43520.0,42652.0,-31238.0,7.8,536.0,243809.0,147444.0,-104167.0,16084,165.35701690133203,-21.18634871544451,2.705794578463069,-1.9421785625466301,Medium,Low,Other,-47.390104989012784
64,Tata AIA Life Insurance Company,Tata,42845.0,41051.0,107.0,0.3,1051.0,976.0,100342.0,3798.0,4069,0.9726734567778198,0.10663530724920771,10.529614155812238,0.026296387318751537,Medium,Low,Banking & Financial Services,0.10242550477367404
65,IFFCO,Co-operative sector,41525.0,39330.0,2443.0,5.9,3144.0,7144.0,33396.0,19772.0,4069,21.391783447119415,7.315247335010181,10.20521012533792,0.6003932170066355,Medium,Low,Other,-4.182401485207809
66,TVS Holdings,TVS-Venu Srinivasan,40635.0,40248.0,800.0,2.0,3170.0,26232.0,33224.0,2840.0,4069,78.95497230917408,2.4078979051288223,9.986483165396903,0.1966085033177685,Medium,Low,Other,-22.7192511437515
67,TVS Motor Company,TVS-Venu Srinivasan,39575.0,39145.0,1686.0,4.3,2426.0,26006.0,33818.0,6784.0,4385,76.8998758057839,4.985510674788574,9.025085518814139,0.3844925883694413,Medium,Low,Automobile,-21.365905139274943
68,Hero MotoCorp,Munjal family,38455.0,37789.0,3745.0,9.7,696.0,606.0,18942.0,17699.0,9225,3.199239784605638,19.77087952697709,4.168563685636856,0.4059620596205962,Medium,Low,Other,2.6529944039700135
69,Jindal Stainless,Savitri Devi Jindal,38221.0,38562.0,2713.0,7.1,1988.0,6052.0,20932.0,14358.0,5287,28.912669596789602,12.961016625262756,7.2292415358426325,0.5131454511064876,Medium,Low,Other,-5.965585706095928
70,MMTC-PAMP India,MNC,37699.0,37808.0,457.0,1.2,211.0,8.0,957.0,900.0,4069,0.8359456635318705,47.7533960292581,9.264929958220693,0.11231260752027525,Medium,Low,Other,1.408380355276907
71,Shriram Finance,Shriram Group,36413.0,36388.0,7366.0,20.2,11173.0,195496.0,245173.0,48947.0,74645,79.73798093591056,3.0044091315112187,0.48781566079442695,0.09868042065778015,Medium,High,Banking & Financial Services,-17.492191717685063
72,IDFC First Bank,Diversified,36257.0,30325.0,2942.0,8.1,12481.0,251506.0,296390.0,32274.0,41141,84.85643915111845,0.9926110867438174,0.8812863080625167,0.07151017233416786,Medium,Low,Banking & Financial Services,-22.698657512061807
73,Asian Paints,Diversified,35952.0,35495.0,5460.0,15.2,1084.0,2474.0,22396.0,18728.0,14854,11.046615467047687,24.379353455974282,2.4203581526861453,0.36757775683317623,Medium,Medium,Other,2.0432827290587605
74,Central Bank of India,Govt of India,35663.0,30849.0,2668.0,7.5,37608.0,405554.0,448611.0,28290.0,31610,90.40215242158574,0.5947246055045463,1.1282189180639037,0.08440366972477065,Medium,Low,Banking & Financial Services,-24.541984815352276
75,Ambuja Cements,Adani Group,34537.0,33160.0,3577.0,10.4,11069.0,699.0,51801.0,41455.0,4330,1.3493947993281983,6.905272098994228,7.97621247113164,0.8260969976905311,Medium,Medium,Construction & Infrastructure,3.1960236288874735
76,Hindustan Aeronautics,Govt of India,34263.0,30381.0,7621.0,22.2,26432.0,50.0,41820.0,29138.0,23766,0.11956001912960307,18.223338115734098,1.441681393587478,0.3206681814356644,Medium,High,Other,7.415007173601146
77,Sidbi,Govt of India,34241.0,33610.0,4822.0,14.1,33544.0,511961.0,560586.0,34147.0,4069,91.32604096427667,0.8601713207250984,8.415089702629638,1.1850577537478495,Medium,Medium,Other,-22.838641385978246
78,Oil India,Govt of India,33513.0,32466.0,6335.0,18.9,5937.0,24041.0,79142.0,48339.0,6492,30.37704379469814,8.004599327790554,5.162199630314233,0.9758163894023414,Medium,Medium,Oil & Gas,-2.968017740264336
79,Yes Bank,Diversified,32961.0,27606.0,1285.0,3.9,19318.0,346737.0,406362.0,42155.0,28099,85.32712212263942,0.31622051274479407,1.1730310687213068,0.045731164810135595,Medium,Low,Banking & Financial Services,-24.112304447758408
80,Aurobindo Pharma,P.V. Ramprasad Reddy,30505.0,29002.0,3173.0,10.4,6278.0,6648.0,36776.0,29843.0,37596,18.077006743528386,8.627909506199694,0.8113895095222896,0.08439727630599,Medium,Medium,Pharmaceuticals,-1.796402001305198
81,IDBI Bank,Diversified,30421.0,26446.0,5788.0,19.0,26009.0,294448.0,364580.0,43140.0,18292,80.76361841022546,1.5875802293049537,1.663076754865515,0.3164224797725782,Medium,Medium,Banking & Financial Services,-18.18306599374623
82,EID Parry,Murugappa Group,30277.0,29413.0,900.0,3.0,2917.0,1740.0,13002.0,7058.0,1250,13.382556529764653,6.92201199815413,24.2216,0.72,Medium,Low,Other,-2.6314566989693895
83,Indus Towers,Diversified,30090.0,28601.0,6036.0,20.1,63.0,20531.0,50918.0,27039.0,3554,40.321693703601866,11.854354059468164,8.466516601012943,1.698368036015757,Medium,High,Other,-5.529173573196117
84,Indian Overseas Bank,Govt of India,29731.0,24066.0,2666.0,9.0,18815.0,316509.0,351869.0,24839.0,21475,89.9508055554766,0.7576683367957961,1.3844470314318975,0.12414435389988358,Medium,Low,Banking & Financial Services,-23.95939397900923
85,Dr. Reddys Laboratories,Dr. Reddy’s Holdings,29601.0,28011.0,5578.0,18.8,1728.0,2002.0,30595.0,28255.0,21757,6.543552868115706,18.231737211962738,1.3605276462747622,0.2563772578940111,Medium,Medium,Pharmaceuticals,4.352864847197255
86,Capgemini Technology Services India,MNC,28750.0,27786.0,3246.0,11.3,1774.0,862.0,21812.0,20710.0,165762,3.9519530533651204,14.881716486337796,0.17344144013706397,0.019582292684692512,Medium,Medium,IT & Technology,2.8183146891619293
87,Adani Ports & SEZ,Adani Group,28210.0,26711.0,8111.0,28.8,7632.0,49167.0,106973.0,52778.0,2919,45.96206519402092,7.582287119179607,9.664268585131895,2.778691332648167,Medium,High,Other,-4.682704794667812
88,Torrent Power,Samir & Sudhir Mehta,27544.0,27220.0,1833.0,6.7,419.0,11632.0,26022.0,12062.0,6987,44.70063792175851,7.044039658750288,3.942178331186489,0.2623443537999141,Medium,Low,Power & Energy,-10.956090231342712
89,LIC Housing Finance,Govt of India,27278.0,27277.0,4759.0,17.5,1655.0,252618.0,284098.0,31477.0,2396,88.91931657385832,1.6751261888503264,11.384808013355592,1.9862270450751252,Medium,Medium,Banking & Financial Services,-21.09112735746116
90,Federal Bank,Diversified,26782.0,23565.0,3880.0,14.5,19194.0,277615.0,318376.0,30105.0,15212,87.19721335779079,1.2186848254893585,1.7605837496713121,0.2550617933210623,Medium,Medium,Banking & Financial Services,-21.472732869311752
91,Indian Railway Finance Corporation,Govt of India,26656.0,26645.0,6412.0,24.1,467.0,412039.0,461217.0,49179.0,4069,89.33734012406308,1.3902349653200121,6.550995330548046,1.5758171540919146,Medium,High,Banking & Financial Services,-19.24319483019923
92,Cipla,Yusuf Hamied family,26458.0,25774.0,4122.0,15.6,875.0,559.0,27621.0,26706.0,40993,2.0238224539299807,14.923427826653631,0.6454272680701583,0.10055375307979411,Medium,Medium,Other,4.677657579378009
93,Cholamandalam Fin. Holdings,Murugappa Group,26087.0,25830.0,1773.0,6.8,4548.0,134014.0,156138.0,10242.0,39747,85.83048329042258,1.1355339507358875,0.6563262636173799,0.044607140161521626,Medium,Low,Other,-23.38060869231065
94,MRF,K.M. Mammen,25670.0,25169.0,2081.0,8.1,345.0,2822.0,20120.0,16703.0,19209,14.025844930417493,10.342942345924454,1.336352751314488,0.10833463480660108,Medium,Low,Other,-1.2674652087475147
95,Nestle India,MNC,25370.0,25172.0,3933.0,15.5,779.0,345.0,6618.0,3341.0,4200,5.213055303717136,59.42883046237534,6.04047619047619,0.9364285714285714,Medium,Medium,Other,4.598201873677847
96,Apollo Tyres,Onkar Kanwar,25301.0,25378.0,1722.0,6.8,922.0,4905.0,19779.0,13899.0,17985,24.799029273471866,8.706203549218868,1.4067834306366416,0.0957464553794829,Medium,Low,Other,-4.916261691693211
97,UCO Bank,Govt of India,25120.0,21854.0,1672.0,6.7,29025.0,288461.0,323548.0,24216.0,21456,89.15555033565344,0.5167703091967807,1.1707680835197614,0.0779269202087994,Medium,Low,Banking & Financial Services,-24.408387998071383
98,Bharat Heavy Electricals,Govt of India,24940.0,23893.0,282.0,1.1,6157.0,8856.0,42506.0,24439.0,46034,20.83470568860867,0.663435750247024,0.5417734717817265,0.0061259069383499155,Medium,Low,Power & Energy,-5.578172963816873
99,Reliance Infrastructure,Diversified,23972.0,22805.0,-1609.0,7.8,2081.0,9895.0,31092.0,8747.0,5312,31.824906728418885,-5.174964621124405,4.512801204819277,-0.3028990963855422,Medium,Low,Construction & Infrastructure,-6.997585230927569
100,HSBC,MNC,23915.0,19962.0,5436.0,22.7,18100.0,237199.0,297106.0,40768.0,4069,79.83648933377313,1.829650023897195,5.877365446055542,1.3359547800442368,Medium,High,Other,-16.79216959603643
101,Bank of Maharashtra,Govt of India,23509.0,20495.0,4072.0,17.3,30312.0,278445.0,307342.0,18427.0,13499,90.5977705617846,1.3249084082227616,1.7415364101044521,0.3016519742203126,Medium,Medium,Banking & Financial Services,-21.643107743165597
102,Patanjali Foods,Patanjali Ayurved,23345.0,23117.0,765.0,3.3,834.0,1049.0,11284.0,10205.0,4197,9.296348812477845,6.779510811768877,5.562306409340005,0.18227305218012865,Medium,Low,Consumer Goods & Retail,-1.3485324353066293
103,Godrej Industries,Godrej Group,23263.0,16601.0,60.0,0.3,3510.0,28996.0,44218.0,8001.0,1050,65.57510516079425,0.13569134741507982,22.155238095238094,0.05714285714285714,Medium,Low,Other,-19.26394183364241
104,Rail Vikas Nigam,Govt of India,23180.0,21889.0,1574.0,6.8,3113.0,6033.0,15522.0,8746.0,394,38.867413993042135,10.14044581883778,58.83248730964467,3.99492385786802,Medium,Low,Other,-9.077304471073317
105,NMDC,Govt of India,22772.0,21308.0,5571.0,24.5,12364.0,3359.0,30613.0,25656.0,1647,10.972462679253912,18.198151112272566,13.826350941105039,3.3825136612021858,Medium,High,Other,4.80300035932447
106,National Fertilizer,Govt of India,22366.0,23560.0,150.0,0.7,38.0,4091.0,8440.0,2554.0,1362,48.47156398104266,1.7772511848341233,16.42143906020558,0.11013215859030837,Medium,Low,Other,-13.995023696682464
107,Jindal Saw,Savitri Devi Jindal,21656.0,20958.0,1677.0,7.7,895.0,5727.0,15289.0,10093.0,7517,37.45830335535352,10.968670285826411,2.8809365438339762,0.22309431954237063,Medium,Low,Other,-8.39640983713781
108,Standard Chartered Bank,MNC,21648.0,16787.0,3730.0,17.2,13376.0,165269.0,237130.0,37938.0,4069,69.6955256610298,1.5729768481423692,5.320226099778815,0.9166871467190956,Medium,Medium,Banking & Financial Services,-15.40591658583899
109,Bharat Electronics,Govt of India,21500.0,20268.0,3985.0,18.5,11057.0,63.0,17497.0,16326.0,17665,0.36006172486712007,22.775332914213863,1.2170959524483442,0.2255873195584489,Medium,Medium,Other,6.323875521517975
110,Bharat Sanchar Nigam,Govt of India,21317.0,19344.0,-5367.0,7.8,14075.0,18625.0,141097.0,106626.0,4069,13.200138911528947,-3.803766203391993,5.238879331531089,-1.3189972966330794,Medium,Low,Other,-1.3761661835474883
111,Tata Communications,Tata Group,21253.0,20969.0,968.0,4.6,842.0,11263.0,16390.0,1786.0,7144,68.71873093349603,5.906040268456376,2.9749440089585666,0.135498320268757,Medium,Low,Telecom,-18.807223917022576
112,Shree Cement,H.M. Bangur,21207.0,20521.0,2396.0,11.3,422.0,1656.0,22598.0,20703.0,7498,7.32808213116205,10.602708204265864,2.8283542277940783,0.31955188050146704,Medium,Medium,Construction & Infrastructure,1.7073643685281883
113,Nuclear Power Corpn. of India,Govt of India,21206.0,18600.0,6523.0,30.8,5058.0,90757.0,155063.0,61619.0,10576,58.52911397303032,4.206677286006332,2.005105900151286,0.6167738275340393,Medium,Very High,Power & Energy,-7.9280768461851
114,Bandhan Bank,Diversified,21034.0,18870.0,2230.0,10.6,16171.0,151574.0,178126.0,21610.0,75748,85.09369771959176,1.2519227962228985,0.27768389924486453,0.029439721180757248,Medium,Medium,Banking & Financial Services,-22.00491404960534
115,Indian Potash,Govt of India,21013.0,20946.0,1258.0,6.0,614.0,4575.0,14189.0,9516.0,4069,32.24328705335119,8.866022975544436,5.164168100270337,0.30916687146719096,Medium,Low,Other,-7.387011064909436
116,NCC,AVS Raju & Associates,21000.0,20845.0,711.0,3.4,1150.0,980.0,7890.0,6640.0,12761,12.420785804816223,9.011406844106464,1.6456390565002743,0.05571663662722357,Medium,Low,Other,-2.1968567807351076
117,Skoda Auto Volkswagen India,MNC,20774.0,18960.0,96.0,0.5,995.0,2882.0,10745.0,5190.0,4069,26.82177757096324,0.893438808748255,5.105431309904153,0.02359302039813222,Medium,Low,Automobile,-7.560144253140995
118,ACC,Adani Group,20660.0,19959.0,2336.0,11.3,1863.0,355.0,16840.0,16330.0,3884,2.108076009501188,13.871733966745845,5.319258496395468,0.6014418125643667,Medium,Medium,Other,3.3571377672209026
119,ICICI Lombard GIC,Diversified,20602.0,20487.0,1919.0,9.3,335.0,35.0,12985.0,11960.0,13670,0.2695417789757413,14.778590681555642,1.5070958302852964,0.1403803950256035,Medium,Low,Other,3.309869079707355
