Rank,Company,Owner,"TOTAL INCOME 
(INR Cr)","NET OPERATING INCOME 
(INR Cr)","PROFIT 
(INR Cr)","Profit as % 
of Revenue","INTEREST COST / AS % OF 
EBITDA","cash & bank balance 
(INR Cr)","total debt 
(INR Cr)","debt-equity 
ratio","TOTAL ASSETS 
(INR Cr)","NET WORTH 
(INR Cr)",RONW%,ROCE%,"EMPLOYEES 
(IN NOS.)","T12M AVG 
M-CAP 
(INR Cr)",TSR%
44+15,Adani Power,Adani Group,60281,50351,20829,34.6%,3388,7212,34431,0.8,84098,43145,57.1%,30.1%,3315,235962,35.1%
45+27,Toyota Kirloskar Motor,MNC,56801,55866,4787,8.4%,80,11108,3378,0.41,12519,8232,77.3%,61.7%,NAVL,NAP,NAP
46+18,Adani Enterprises,Adani Group,55723,52744,3240,5.8%,4555,7068,65310,1.67,121412,39076,9.1%,8.9%,2814,347248,31.3%
47+8,IndusInd Bank,Hinduja Group,55144,45748,8977,16.3%,25132,36907,432197,NAP,515985,62912,15.3%,1.8%,45637,112582,-32.5%
48+10,Titan Company,Tata Group,54289,51084,3496,6.4%,619,1526,15528,1.65,25212,9393,32.9%,22.5%,8680,313038,-4.9%
49-5,Petronet LNG,Govt of India,53338,52729,3652,6.9%,290,7414,3008,0.17,21160,17410,21.6%,24.8%,271,44992,64.7%
50-2,Tech Mahindra,M&M Group,52923,51996,2358,4.5%,392,4736,2537,0.1,32296,26669,8.8%,11%,128151,137526,41%
51+5,Avenue Supermarts,R.K. Damani,51619,50789,2536,4.9%,58,638,592,0.03,19299,18698,14.6%,19.5%,13971,287848,0%
52-2,Jindal Steel & Power,Savitri Devi Jindal,50557,50354,5938,11.8%,1294,4024,16472,0.37,62635,44316,14.3%,13.1%,6371,91016,36.7%
53+9,Nabard,Govt of India,49615,49222,6304,12.7%,36940,37840,789347,NAP,912496,97973,6.7%,0.7%,3134,NAP,NAP
540,Sun Pharmaceuticals Industries,Dilip Shanghvi,49595,48497,9576,19.3%,238,10521,3274,0.05,71294,63667,16.1%,17.2%,19530,378120,48.4%
55-8,Adani Wilmar,Adani Group,49571,49302,148,0.3%,749,2810,2628,0.32,11536,8316,2.2%,9.2%,2678,45375,4.9%
56+1,Ashok Leyland,Hinduja Group,47336,46543,2484,5.3%,2982,7080,40802,4.53,53889,9005,30.7%,15.4%,9607,60397,31.6%
57-5,Power Grid Corporation of India,Govt of India,47001,45843,15573,33.1%,8773,7495,123516,1.42,215096,87145,18.3%,12.7%,8316,276894,54.9%
58+7,Bajaj Auto,Bajaj Group,46650,44870,7708,16.5%,60,955,1912,0.07,30912,28962,26.4%,33.4%,9816,252698,69.7%
59+17,Max Financial Services,Diversified,46618,46580,340,0.7%,44,906,523,NAP,4892,3866,8.1%,8.6%,NAVL,35639,30.4%
60-7,GIC,Govt of India,46557,45375,6686,14.4%,1,24855,0,NAP,85692,41935,16.7%,12.1%,429,63788,39.7%
610,New India Assurance Company,Govt of India,43691,43676,1116,2.6%,0,14320,0,NAP,45489,21844,1.4%,0.4%,11940,38993,14.1%
62-13,UPL,R.D. Shroff,43581,43098,-1200,NAP,3852,6036,29754,1.2,63065,24807,NAP,3.8%,4328,40651,-3.4%
63-3,Vodafone Idea,MNC,43520,42652,-31238,NAP,25766,536,243809,NAP,147444,-104167,NAP,0%,16084,81830,-48.8%
64+27,Tata AIA Life Insurance Company,Tata,42845,41051,107,0.3%,0,1051,976,NAP,100342,3798,3.3%,0.1%,NAVL,NAP,NAP
65-25,IFFCO,Co-operative sector,41525,39330,2443,5.9%,468,3144,7144,0.36,33396,19772,13.1%,13.5%,NAVL,NAP,NAP
66+7,TVS Holdings,TVS-Venu Srinivasan,40635,40248,800,2%,2043,3170,26232,9.24,33224,2840,58.6%,16.8%,NAVL,21523,107.4%
67+7,TVS Motor Company,TVS-Venu Srinivasan,39575,39145,1686,4.3%,1928,2426,26006,3.83,33818,6784,29%,15.1%,4385,109060,40.9%
68+3,Hero MotoCorp,Munjal family,38455,37789,3745,9.7%,76,696,606,0.03,18942,17699,21.8%,28.4%,9225,97845,45.4%
69-1,Jindal Stainless,Savitri Devi Jindal,38221,38562,2713,7.1%,554,1988,6052,0.42,20932,14358,20.5%,22.2%,5287,56554,30.5%
70+5,MMTC-PAMP India,MNC,37699,37808,457,1.2%,91,211,8,0.01,957,900,67.4%,60.2%,NAVL,NAP,NAP
71+7,Shriram Finance,Shriram Group,36413,36388,7366,20.2%,15588,11173,195496,NAP,245173,48947,16%,11.3%,74645,99829,45.7%
72+12,IDFC First Bank,Diversified,36257,30325,2942,8.1%,13870,12481,251506,NAP,296390,32274,9.6%,1.1%,41141,56853,-22.3%
73-3,Asian Paints,Diversified,35952,35495,5460,15.2%,205,1084,2474,0.13,22396,18728,32%,37.8%,14854,289412,-20.2%
74+5,Central Bank of India,Govt of India,35663,30849,2668,7.5%,17882,37608,405554,NAP,448611,28290,9.9%,0.6%,31610,51322,16%
75-12,Ambuja Cements,Adani Group,34537,33160,3577,10.4%,276,11069,699,0.02,51801,41455,13%,16.5%,4330,134211,30.9%
76+4,Hindustan Aeronautics,Govt of India,34263,30381,7621,22.2%,43,26432,50,0,41820,29138,28.9%,26.3%,23766,264715,91.8%
77+31,Sidbi,Govt of India,34241,33610,4822,14.1%,23900,33544,511961,NAP,560586,34147,15.2%,1%,NAVL,NAP,NAP
78-12,Oil India,Govt of India,33513,32466,6335,18.9%,964,5937,24041,0.5,79142,48339,19.9%,18.1%,6492,71402,134.2%
79+6,Yes Bank,Diversified,32961,27606,1285,3.9%,19527,19318,346737,NAP,406362,42155,2.5%,0.3%,28099,70443,-4.2%
80+9,Aurobindo Pharma,P.V. Ramprasad Reddy,30505,29002,3173,10.4%,290,6278,6648,0.22,36776,29843,11.2%,13.5%,37596,72382,23.9%
81+9,IDBI Bank,Diversified,30421,26446,5788,19%,12226,26009,294448,NAP,364580,43140,14.3%,1.7%,18292,89947,25.7%
82-13,EID Parry,Murugappa Group,30277,29413,900,3%,295,2917,1740,0.25,13002,7058,24.6%,29.8%,1250,12147,56%
83-2,Indus Towers,Diversified,30090,28601,6036,20.1%,1864,63,20531,0.76,50918,27039,25.1%,21.3%,3554,85721,67.9%
84+13,Indian Overseas Bank,Govt of India,29731,24066,2666,9%,14227,18815,316509,NAP,351869,24839,6.8%,0.8%,21475,110114,23.9%
85+3,Dr. Reddys Laboratories,Dr. Reddy’s Holdings,29601,28011,5578,18.8%,171,1728,2002,0.07,30595,28255,21.6%,26.6%,21757,104374,7.1%
86R-E ‘18,Capgemini Technology Services India,MNC,28750,27786,3246,11.3%,64,1774,862,0.04,21812,20710,17.1%,21.5%,165762,NAP,NAP
87+15,Adani Ports & SEZ,Adani Group,28210,26711,8111,28.8%,2733,7632,49167,0.93,106973,52778,16.5%,12%,2919,285673,60%
88-1,Torrent Power,Samir & Sudhir Mehta,27544,27220,1833,6.7%,943,419,11632,0.96,26022,12062,16.4%,14.5%,6987,68341,94.6%
89+12,LIC Housing Finance,Govt of India,27278,27277,4759,17.5%,18385,1655,252618,NAP,284098,31477,16.2%,8.8%,2396,35235,33.3%
90+15,Federal Bank,Diversified,26782,23565,3880,14.5%,14495,19194,277615,NAP,318376,30105,15%,1.3%,15212,41706,36.7%
91+4,Indian Railway Finance Corporation,Govt of India,26656,26645,6412,24.1%,20101,467,412039,NAP,461217,49179,13.7%,5.7%,NAVL,198234,83.5%
92+7,Cipla,Yusuf Hamied family,26458,25774,4122,15.6%,90,875,559,0.02,27621,26706,16.6%,22.3%,40993,117944,18.5%
93+21,Cholamandalam Fin. Holdings,Murugappa Group,26087,25830,1773,6.8%,9249,4548,134014,NAP,156138,10242,42.9%,11.6%,39747,25088,40.5%
94+2,MRF,K.M. Mammen,25670,25169,2081,8.1%,361,345,2822,0.17,20120,16703,13.3%,16.5%,19209,55818,8.7%
95+28,Nestle India,MNC,25370,25172,3933,15.5%,145,779,345,0.1,6618,3341,108.5%,69.2%,4200,241875,-8.3%
96-4,Apollo Tyres,Onkar Kanwar,25301,25378,1722,6.8%,527,922,4905,0.35,19779,13899,13%,15.4%,17985,31432,12.2%
97+10,UCO Bank,Govt of India,25120,21854,1672,6.7%,13754,29025,288461,NAP,323548,24216,7%,0.5%,21456,60124,8%
98-4,Bharat Heavy Electricals,Govt of India,24940,23893,282,1.1%,828,6157,8856,0.36,42506,24439,0.9%,2.3%,46034,88329,58%
99-6,Reliance Infrastructure,Diversified,23972,22805,-1609,NAP,2310,2081,9895,1.13,31092,8747,NAP,0%,5312,8807,39.1%
100+26,HSBC,MNC,23915,19962,5436,22.7%,8650,18100,237199,NAP,297106,40768,14.3%,1.8%,NAVL,NAP,NAP
101+17,Bank of Maharashtra,Govt of India,23509,20495,4072,17.3%,10672,30312,278445,NAP,307342,18427,24.9%,1.4%,13499,42026,18.1%
102-20,Patanjali Foods,Patanjali Ayurved,23345,23117,765,3.3%,198,834,1049,0.1,11284,10205,7.6%,11.1%,4197,57930,34.6%
103-5,Godrej Industries,Godrej Group,23263,16601,60,0.3%,1352,3510,28996,3.62,44218,8001,6.4%,6.7%,1050,29734,54.1%
1040,Rail Vikas Nigam,Govt of India,23180,21889,1574,6.8%,568,3113,6033,0.69,15522,8746,19.7%,17.6%,394,76537,153.6%
105+1,NMDC,Govt of India,22772,21308,5571,24.5%,78,12364,3359,0.13,30613,25656,23.1%,28.3%,1647,66901,34.8%
106-29,National Fertilizer,Govt of India,22366,23560,150,0.7%,277,38,4091,1.6,8440,2554,5.9%,5.3%,1362,5485,55.9%
107+13,Jindal Saw,Savitri Devi Jindal,21656,20958,1677,7.7%,705,895,5727,0.57,15289,10093,17.7%,20%,7517,17791,29.3%
108+52,Standard Chartered Bank,MNC,21648,16787,3730,17.2%,7497,13376,165269,NAP,237130,37938,10%,1.6%,NAVL,NAP,NAP
109+3,Bharat Electronics,Govt of India,21500,20268,3985,18.5%,12,11057,63,0,17497,16326,26.1%,32.6%,17665,179696,95.2%
110-43,Bharat Sanchar Nigam,Govt of India,21317,19344,-5367,NAP,1785,14075,18625,0.17,141097,106626,NAP,0%,NAVL,NAP,NAP
111+5,Tata Communications,Tata Group,21253,20969,968,4.6%,644,842,11263,6.3,16390,1786,30.6%,12.1%,7144,52539,1.2%
112+1,Shree Cement,H.M. Bangur,21207,20521,2396,11.3%,258,422,1656,0.08,22598,20703,12.2%,14.6%,7498,94526,-7.3%
113+17,Nuclear Power Corpn. of India,Govt of India,21206,18600,6523,30.8%,1091,5058,90757,1.47,155063,61619,9.1%,6.6%,10576,NAP,NAP
114+1,Bandhan Bank,Diversified,21034,18870,2230,10.6%,8544,16171,151574,NAP,178126,21610,10.8%,1.3%,75748,32508,-21.8%
115+168,Indian Potash,Govt of India,21013,20946,1258,6%,384,614,4575,0.48,14189,9516,-7.9%,4.8%,NAVL,NAP,NAP
116+29,NCC,AVS Raju & Associates,21000,20845,711,3.4%,595,1150,980,0.15,7890,6640,11.6%,22.2%,12761,16645,63.4%
117-7,Skoda Auto Volkswagen India,MNC,20774,18960,96,0.5%,316,995,2882,0.56,10745,5190,3.5%,3.1%,NAVL,NAP,NAP
118-18,ACC,Adani Group,20660,19959,2336,11.3%,155,1863,355,0.02,16840,16330,15.3%,18.6%,3884,45567,20%
119-8,ICICI Lombard GIC,Diversified,20602,20487,1919,9.3%,0,335,35,NAP,12985,11960,17.2%,21.9%,13670,86752,28.1%
120+19,Lupin,D.B. Gupta family,20599,20011,1914,9.3%,312,1203,2922,0.2,18016,14290,14.5%,15.3%,18649,79055,70.6%
121+15,Siemens,MNC,20371,19554,1961,9.6%,23,7651,175,0.01,13880,13087,15.9%,20.4%,8888,211209,85.8%
122+9,Zydus Lifesciences,Zydus Family Trust,20108,19547,3860,19.2%,81,1105,804,0.04,24274,19830,20.6%,23.9%,21722,97618,49%
123-40,Citibank N. A.,MNC,20037,15411,6237,31.1%,4555,65940,197672,NAP,259856,43822,14.8%,2.6%,NAVL,NAP,NAP
124+5,KEC International,RPG Group,19978,19914,347,1.7%,797,273,3985,0.97,8106,4096,8.8%,16%,6621,20403,68.5%
125+25,Kalyan Jewellers India,T.S. Kalyanaraman,19858,18548,597,3%,379,975,4486,1.07,8720,4189,15.2%,14%,11177,49409,113.8%
126+14,Kalpataru Power Transmission,Munot family,19673,19626,510,2.6%,704,1032,4008,0.78,9742,5138,10.5%,14.6%,8441,17832,85.6%
127+45,Cholamandalam Investment & Finance Company,Murugappa Group,19420,19163,3420,17.6%,9231,4394,134475,NAP,154068,19593,20.1%,10.4%,38241,108595,10.4%
128+10,Apollo Hospitals Enterprise,Prathap C Reddy family,19201,19059,899,4.7%,449,934,5333,0.77,12754,6928,14%,15.4%,18669,91078,23.5%
129-1,Quess Corp,"Fairfax, Ajit Isaac",19168,19100,278,1.5%,121,545,838,0.3,4139,2799,10.5%,10.6%,2534,9118,33.9%
130+31,Polycab India,Jaisinghani family,18682,18039,1784,9.6%,108,402,161,0.02,8561,8187,24.3%,32.2%,4666,89286,22%
131-9,Havells India,Anil Rai Gupta,18596,18590,1271,6.8%,84,3038,303,0.04,7853,7447,18.1%,24.1%,6822,103673,27.5%
132+5,Infiniti Retail,Tata,18303,17833,-987,NAP,744,47,3632,NAP,8352,-597,NAP,0%,NAVL,NAP,NAP
133+13,Bosch,MNC,18301,16727,2491,13.6%,51,2593,39,0,12273,12057,16%,20.3%,3516,89091,66.2%
134+14,Eicher Motors,Vikram Lal,18256,16536,4001,21.9%,51,146,419,0.02,19216,18046,24.2%,30%,16550,121176,28.2%
1350,APL Apollo Tubes,Rahul Gupta,18202,18119,732,4%,113,348,1144,0.32,4904,3605,22.2%,24.5%,1493,42412,-12.2%
136+28,Tata Capital,Tata Group,18198,18178,3327,18.3%,9568,6996,148512,NAP,173094,23417,16.3%,9.2%,NAVL,NAP,NAP
137-51,Chambal Fertilisers & Chemicals,K.K. Birla Group,18151,17966,1276,7%,173,133,1794,0.25,9161,7274,17.8%,21%,1089,17257,53.3%
138-6,Tata Projects,Tata Group,18045,17761,80,0.5%,616,702,5543,1.94,8499,2852,1.3%,7.8%,NAVL,NAP,NAP
139+10,Tube Investments of India,Murugappa Group,17899,16890,1201,6.7%,73,1227,896,NAP,8994,5100,38%,26.6%,3233,75053,8.3%
140-37,Rain Industries,Jagan Mohan Reddy,17841,18141,-938,NAP,819,2006,8690,1.18,17479,7343,NAP,1.9%,1476,5583,6.5%
141+39,Dixon Technologies,Sunil Vachani,17827,17691,368,2.1%,81,209,480,0.28,2298,1695,25.2%,28.4%,1522,58427,172.1%
142R-E ‘21,Rashtriya Chemicals & Fertilizers,Govt of India,17714,16981,225,1.3%,190,353,3297,0.72,8178,4606,4.2%,6%,NAVL,9237,26.9%
143+14,Honda Cars India,MNC,17589,16462,661,3.8%,300,3537,2877,1.1,6042,2608,20.9%,20.3%,NAVL,NAP,NAP
144-27,Gujarat State Petronet,Govt of Gujarat,17542,17295,1660,9.5%,56,1400,140,0.01,14736,10825,21.5%,28.5%,407,19376,18.5%
145-21,Bombay Burmah Trading Corporation,Nusli Wadia,17507,17109,684,3.9%,364,875,2161,0.46,8923,4676,39.9%,32.8%,296,13579,72.5%
146-2,CESC,RP-Sanjiv Goenka Group,17291,15293,1376,8%,1377,2711,14544,1.27,29752,11446,13%,10.3%,6087,20317,80.9%
147+6,Adani Energy Solutions,Adani Group,17218,16607,1137,6.6%,2767,2228,37070,2.93,52428,12642,9.8%,9.2%,4959,117936,19.1%
148-1,Exide Industries,Rajan Raheja Group,17161,16770,877,5.1%,120,331,1123,0.09,14190,12886,7.4%,10.4%,4218,36126,47.6%
149-15,National Insurance Company,Govt of India,17117,16964,-187,NAP,0,980,895,NAP,6866,-995,NAP,0%,NAVL,NAP,NAP
150-17,Britannia Industries,Nusli Wadia,16980,16769,2140,12.6%,164,446,2065,0.52,6127,3942,57.1%,48.4%,3380,128733,5.6%
151-9,PTC India,Govt of India,16896,16763,477,2.8%,431,2193,4327,0.84,10381,5142,10.5%,10.8%,108,6000,8.2%
152+22,National Stock Exchange Of India,Diversified,16534,14780,8306,50.2%,0,29111,125,NAP,33530,23974,37.4%,37%,NAVL,NAP,NAP
153+35,Welspun Corp,B.K. Goenka,16479,17340,1110,6.7%,304,1072,1930,0.34,7877,5597,22%,21.4%,1252,15880,27.4%
154+35,Biocon,Kiran Mazumdar-Shaw,16478,14756,1023,6.2%,974,2259,16277,0.82,43172,19783,6.9%,6.4%,4338,36960,38.7%
155-1,Apar Industries,Kushal Desai,16381,16153,825,5%,432,646,476,0.12,4380,3876,27%,43.9%,1659,30632,50.9%
156-29,Tata Chemicals,Tata Group,16353,15758,268,1.6%,530,645,5563,0.25,30600,22241,3.8%,7.5%,6203,27178,12.3%
157+11,Varun Beverages,Ravi Jaipuria,16206,16043,2056,12.7%,292,460,5431,0.78,12735,6937,34.9%,27.8%,9973,186393,46.1%
158+12,Bharat Forge,Baba Kalyani,15919,15682,951,6%,491,1690,7948,1.11,15609,7170,13.1%,12.6%,4003,64547,22.9%
1590,Tata Consumer Products,Tata Group,15573,15206,1150,7.4%,130,2454,3477,0.22,22884,16057,9.3%,10.6%,3488,107042,2%
160R-E ‘19,Tata Sia Airlines,Tata Group,15541,15191,-581,NAP,1322,644,7498,NAP,22298,-87,NAP,0%,NAVL,NAP,NAP
161+32,Export-Import Bank of India,Govt of India,15464,14904,2518,16.3%,11292,8470,154611,NAP,192322,23146,10.9%,1.4%,NAVL,NAP,NAP
162+21,RBL Bank,Diversified,15454,12394,1260,8.2%,6350,14423,117656,NAP,138459,14837,8.9%,1%,15606,14506,-30.4%
163-38,NLC India,Govt of India,15445,13074,1854,12%,849,746,22415,1.36,46259,16531,6.8%,6.1%,3681,33560,41.2%
164+34,Prestige Estates Projects,Irfan Razack,15173,7877,1374,9.1%,1219,2558,13458,1.19,25437,11289,15.3%,15%,10956,60951,72.6%
165+19,Muthoot Finance,Muthoot family,15163,15062,4324,28.5%,5452,6272,68274,NAP,94028,25107,19.1%,13.4%,28286,67042,44.1%
1660,Dalmia Bharat,Dalmia Bharat Group,14990,14691,826,5.5%,386,582,4805,0.29,21715,16397,5.3%,7%,5945,36741,-23%
167R-E ‘22,JK Tyre & Industries,JK Organisation,14985,15002,786,5.3%,447,770,4609,1.03,10157,4487,20.6%,17.3%,5681,10928,9.5%
168-27,Bengal & Assam Company,JK Organisation,14943,12962,3892,26%,364,33,422,NAP,9663,9055,14%,15.6%,NAVL,9996,17.3%
169-26,Haldia Petrochemicals,The Chatterjee Group,14914,14392,-1028,NAP,749,2365,8375,0.69,24386,12211,NAP,0%,NAVL,NAP,NAP
170+37,PNB MetLife India Insurance Company,MNC,14772,14699,276,1.9%,0,217,400,NAP,48299,1729,13.7%,0.7%,NAVL,NAP,NAP
171+325,Rattanindia Power,Rajiv Rattan,14673,3364,8897,60.6%,2363,462,3185,0.73,8757,4364,-117.8%,6.3%,443,6941,25.4%
172-16,Indraprastha Gas,Govt of India,14603,14000,1985,13.6%,28,2156,81,0.01,9795,9633,22.6%,28.8%,719,32601,-13.7%
173-18,ONGC Petro Additions,ONGC,14392,14307,-3456,NAP,2860,9,30415,NAP,27784,-2698,NAP,0%,NAVL,NAP,NAP
174-3,Godrej Consumer Products,Godrej Group,14378,14096,-561,NAP,310,547,3222,0.26,15988,12599,NAP,18.9%,2702,131080,20.2%
175+16,Uno Minda,Nirmal Minda,14377,14031,880,6.1%,113,254,1706,0.35,7115,4943,20.3%,20.9%,4710,49010,55.8%
176-11,Aditya Birla Fashion & Retail,Aditya Birla Group,14066,13996,-628,NAP,941,462,9450,2.34,16001,4034,NAP,0%,26965,27871,36%
177+4,Star Health & Allied Insurance,Diversified,14026,14022,845,6%,0,445,470,NAP,6915,6384,12.8%,15.8%,15913,32787,-15.9%
178-20,National Aluminium Company,Govt of India,13973,13149,1988,14.2%,17,2575,96,0.01,15261,14388,12.2%,15.8%,1586,31516,168.1%
179-16,BASF India,MNC,13797,13767,563,4.1%,16,624,156,0.05,3462,3224,17.5%,22.4%,3139,20998,106.8%
180-5,Afcons Infrastructure,Shapoorji Pallonji Group,13647,13268,450,3.3%,577,666,2523,0.7,8139,3596,14.2%,16.6%,NAVL,17612,-1.4%
181-30,Kama Holdings,Arun Bharat Ram,13560,13440,874,6.4%,301,583,5022,NAP,17345,6609,25%,20.3%,NAVL,8604,-9.1%
182+52,Trent,Tata Group,13529,12375,1487,11%,368,298,1753,0.43,6030,4068,27.2%,23.5%,25277,176910,140.6%
183-10,Shyam Metalics & Energy,M.P. Agarwal,13501,13195,1035,7.7%,133,50,597,0.06,10979,9647,12.2%,11.4%,3522,19037,78%
184-22,Mphasis,MNC,13496,13279,1555,11.5%,161,814,1544,0.18,11339,8795,18.6%,22%,24518,49969,19.9%
185NEW,Adani Properties,Adani Group,13450,8751,3023,22.5%,1831,1369,20242,0.22,128489,90872,2.3%,3.8%,NAVL,NAP,NAP
186-67,Allcargo Logistics,Shashi Kiran Shetty,13422,13188,150,1.1%,140,559,1846,0.73,4509,2522,4.9%,3.5%,537,6808,-20.3%
